,Date,Bitcoin,C,B,S
59,2017-06-27,2593.17,64.23,0.08180247375049189,0.2911449016100178
60,2017-06-28,2584.5638,65.18,0.08131967168764094,0.33363148479427585
61,2017-06-29,2561.5613,66.98,0.08002924682524769,0.41413237924865864
62,2017-06-30,2499.9838,66.88,0.07657479026774221,0.40966010733452585
63,2017-07-03,2581.0663,68.26,0.08112346427730639,0.47137745974955303
64,2017-07-05,2629.2725,68.45,0.08382779984959209,0.4798747763864042
65,2017-07-06,2619.1125,67.63,0.08325783064616137,0.4432021466905187
66,2017-07-07,2521.2363,67.91,0.07776704130080438,0.4557245080500891
67,2017-07-10,2371.96,67.65,0.06939274072973282,0.44409660107334537
68,2017-07-11,2332.1875,66.82,0.06716153008569258,0.40697674418604635
69,2017-07-12,2423.16,66.92,0.07226502647930501,0.41144901610017914
70,2017-07-13,2364.5163,67.02,0.06897515413922321,0.41592128801431105
71,2017-07-14,2232.655,66.72,0.06157782341832356,0.402504472271914
72,2017-07-17,2244.265,66.83,0.06222913665177145,0.40742397137745945
73,2017-07-18,2327.8975,66.89,0.0669208639555038,0.41010733452593895
74,2017-07-19,2294.405,66.7,0.06504195711043455,0.4016100178890878
75,2017-07-20,2877.3863,66.36,0.09774681805295547,0.38640429338103743
76,2017-07-21,2694.2913,66.0,0.08747531103502733,0.3703041144901609
77,2017-07-24,2779.0438,66.1,0.09222986958953157,0.3747763864042932
78,2017-07-25,2591.2163,68.03,0.08169287248742667,0.46109123434704813
79,2017-07-26,2550.18,67.98,0.07939076350881007,0.4588550983899822
80,2017-07-27,2697.4725,67.6,0.0876537742269519,0.44186046511627897
81,2017-07-28,2805.1788,67.43,0.09369602560642747,0.43425760286225445
82,2017-07-31,2873.8325,68.45,0.09754745225028301,0.4798747763864042
83,2017-08-01,2735.5875,69.6,0.08979200022978286,0.5313059033989265
84,2017-08-02,2723.58,69.42,0.08911838751224403,0.5232558139534884
85,2017-08-03,2814.3613,68.13,0.09421115771376042,0.4655635062611805
86,2017-08-04,2883.6813,68.98,0.09809996334189215,0.5035778175313061
87,2017-08-07,3431.9688,69.04,0.12885852531295783,0.5062611806797856
88,2017-08-08,3453.1625,68.88,0.13004747770535446,0.49910554561717335
89,2017-08-09,3377.5438,68.43,0.1258053192207612,0.478980322003578
90,2017-08-10,3445.28,67.22,0.1296052747283818,0.42486583184257576
91,2017-08-11,3679.6075,66.8,0.1427508907241411,0.4060822898032197
92,2017-08-14,4382.7413,67.89,0.18219622654020645,0.4548300536672629
93,2017-08-15,4204.43,67.97,0.17219308189220467,0.45840787119856863
94,2017-08-16,4425.2963,67.71,0.1845835335728831,0.4467799642218244
95,2017-08-17,4316.34,66.6,0.17847115802959967,0.397137745974955
96,2017-08-18,4159.4575,66.58,0.16967015472672348,0.3962432915921288
97,2017-08-21,4054.9425,65.95,0.16380693314241612,0.3680679785330949
98,2017-08-22,4137.6725,66.85,0.16844803079987913,0.4083184257602861
99,2017-08-23,4191.2175,67.23,0.17145186948075497,0.4253130590339893
100,2017-08-24,4362.475,67.69,0.1810593006674222,0.4458855098389982
101,2017-08-25,4408.3238,67.85,0.18363138767669923,0.4530411449016096
102,2017-08-28,4439.6588,67.81,0.18538926021503604,0.4512522361359572
103,2017-08-29,4648.1338,67.48,0.19708456825492005,0.4364937388193204
104,2017-08-30,4630.7275,68.01,0.1961080864689283,0.4601967799642219
105,2017-08-31,4764.8675,68.03,0.20363325073548327,0.46109123434704813
106,2017-09-01,4950.7238,68.58,0.21405966483622962,0.4856887298747763
107,2017-09-05,4422.1213,67.16,0.184405418196811,0.42218246869409626
108,2017-09-06,4626.72,67.32,0.19588326839976017,0.4293381037567081
109,2017-09-07,4638.0975,66.06,0.19652153853873977,0.3729874776386404
110,2017-09-08,4317.5375,66.17,0.17853833697852767,0.3779069767441863
111,2017-09-11,4188.845,67.71,0.17131877381784755,0.4467799642218244
112,2017-09-12,4148.2675,68.79,0.169042403212315,0.49508050089445454
113,2017-09-13,3874.2588,69.39,0.15367069844144,0.5219141323792487
114,2017-09-14,3226.4125,69.24,0.11732695439059872,0.5152057245080499
