Date,Bitcoin,EWJ,FDN,GLD,IWM,IWY,ROBO,SPY,DIA,TLT,UNG,USO,VGT,XLE,XLK,XLU,XLY
7/21/17,2694.2913,54.360001,100.559998,119.260002,142.550003,66.470001,35.779999,246.880005,215.529999,125.690002,26.48,9.34,148.279999,65.110001,57.470001,53.290001,91.129997
7/24/17,2779.0438,54.25,101.110001,119.309998,142.75,66.57,35.924999,246.820007,215.089996,125.199997,25.879999,9.5,148.869995,64.989998,57.610001,52.790001,90.82
7/25/17,2591.2163,54.060001,101.260002,118.919998,144.050003,66.540001,35.98,247.419998,215.860001,123.57,26.32,9.81,148.690002,65.809998,57.5,52.490002,91.459999
7/26/17,2550.18,54.240002,101,119.879997,143.25,66.68,36.080002,247.429993,216.809998,123.769997,26.200001,9.96,148.960007,65.879997,57.720001,52.990002,91.419998
7/27/17,2697.4725,54.419998,100.160004,119.790001,142.339996,66.480003,36.220001,247.199997,217.720001,123.160004,26.559999,10.06,147.610001,66.550003,57.5,53.119999,92.089996
7/28/17,2805.1788,54.580002,100.120003,120.690002,141.960007,66.260002,36.18,246.910004,218.020004,123.889999,26.440001,10.17,147.399994,66.470001,57.439999,53.040001,91.389999
7/31/17,2873.8325,54.759998,98.870003,120.75,141.509995,66.050003,36.279999,246.770004,218.699997,124.040001,25.280001,10.28,146.660004,66.620003,57.16,53.220001,91.360001
8/1/17,2735.5875,55.080002,98.989998,120.650002,141.779999,66.220001,36.450001,247.320007,219.369995,124.639999,25.32,10.09,147.440002,66.610001,57.450001,53.52,91.519997
8/2/17,2723.58,55.049999,98.199997,120.400002,140.229996,66.419998,36.439999,247.440002,219.889999,124.709999,25.200001,10.14,147.639999,66.360001,57.610001,53.75,91.269997
8/3/17,2814.3613,55.189999,98.360001,120.589996,139.529999,66.339996,36.09,246.960007,220.059998,126,25.120001,10.02,147.229996,65.43,57.48,54.02,91.019997
8/4/17,2883.6813,55.139999,99.07,119.650002,140.210007,66.379997,36.09,247.410004,220.570007,124.93,25,10.13,147.440002,65.639999,57.610001,53.779999,91.029999
8/7/17,3431.9688,55.119999,99.690002,119.510002,140.440002,66.68,36.349998,247.869995,220.850006,125.07,25.200001,10.1,148.339996,65.139999,57.959999,53.950001,91.239998
8/8/17,3453.1625,55.060001,99.330002,119.860001,140,66.599998,36.23,247.259995,220.690002,124.620003,25.24,10.06,148.149994,64.989998,57.880001,54.169998,91.290001
8/9/17,3377.5438,54.720001,98.919998,121.309998,138.789993,66.669998,36.099998,247.25,220.5,125.300003,25.84,10.15,148.009995,65.050003,57.849998,53.889999,90.760002
8/10/17,3445.28,54.150002,96.199997,122.209999,136.270004,65.529999,35.400002,243.759995,218.600006,126.370003,26.76,9.91,144.860001,64.360001,56.709999,54.060001,89.400002
8/11/17,3679.6075,54.07,97.07,122.790001,136.470001,65.900002,35.509998,244.119995,218.699997,126.43,26.76,9.99,146,63.939999,57.099998,53.740002,89.860001
8/14/17,4382.7413,54.470001,98.32,121.919998,138.539993,66.669998,35.880001,246.539993,219.970001,125.779999,26.6,9.72,148.360001,63.75,58.009998,54.049999,90.5
8/15/17,4204.43,54.400002,98.059998,120.980003,137.399994,66.669998,35.860001,246.509995,220.160004,125.25,26.32,9.75,148.649994,63.509998,58.099998,54.349998,89.669998
8/16/17,4425.2963,54.580002,98.589996,121.870003,137.440002,66.82,35.993999,246.940002,220.470001,125.709999,25.959999,9.57,149.160004,62.900002,58.27,54.57,90.129997
8/17/17,4316.34,54.209999,96.790001,122.489998,134.929993,65.760002,35.73,243.089996,217.809998,126.650002,26.200001,9.62,146.199997,62.009998,57.130001,54.18,88.690002
8/18/17,4159.4575,54.450001,96.959999,122.300003,134.919998,65.620003,35.68,242.710007,216.529999,126.620003,26.040001,9.97,146.160004,62.32,57.07,54.5,88.25
8/21/17,4054.9425,54.330002,96.940002,122.760002,134.830002,65.739998,35.580002,242.899994,216.740005,126.93,26.559999,9.71,145.990005,62,57.049999,54.700001,88.410004
8/22/17,4137.6725,54.439999,98.540001,122.209999,136.289993,66.540001,36.080002,245.440002,218.690002,126.440002,26.360001,9.77,148.139999,62.41,57.900002,54.82,89.360001
8/23/17,4191.2175,54.459999,98.32,122.669998,136.070007,66.25,36.119999,244.559998,217.919998,127.300003,26.280001,9.88,147.869995,62.68,57.759998,55,88.599998
8/24/17,4362.475,54.18,98.510002,122.290001,136.490005,66.129997,36,243.990005,217.660004,126.830002,26.48,9.71,147.850006,62.720001,57.709999,54.959999,88.410004
8/25/17,4408.3238,54.360001,97.529999,122.739998,136.880005,66.07,36.099998,244.559998,218.039993,127.32,25.959999,9.75,147.75,63,57.700001,55.139999,88.629997
8/28/17,4439.6588,54.419998,97.720001,124.690002,137.460007,66.239998,36.200001,244.570007,217.940002,127.239998,26.280001,9.53,148.130005,62.720001,57.810001,55.240002,88.68
8/29/17,4648.1338,54.310001,98.18,124.419998,137.490005,66.529999,36.240002,244.850006,218.589996,127.650002,26.4,9.46,148.729996,62.639999,58.060001,55.119999,88.599998
8/30/17,4630.7275,54.279999,99.370003,124.360001,138.369995,66.989998,36.5,246.009995,218.929993,127.610001,26.08,9.38,150.110001,62.669998,58.48,54.959999,89.239998
8/31/17,4764.8675,54.709999,100.519997,125.82,139.729996,67.480003,36.84,247.490005,219.520004,127.989998,26.84,9.63,151.220001,62.970001,58.830002,54.970001,89.660004
9/1/17,4950.7238,54.490002,100.470001,126.059998,140.520004,67.480003,36.919998,247.839996,219.919998,126.75,27.16,9.67,151.110001,63.580002,58.779999,54.799999,90.07
9/5/17,4422.1213,54.25,99.760002,127.459999,139.169998,67.080002,36.639999,246.059998,217.669998,128.759995,26.360001,9.92,149.830002,63.93,58.259998,54.939999,89.699997
9/6/17,4626.72,54.48,99.879997,126.809998,139.460007,67.190002,36.869999,246.899994,218.25,127.970001,26.68,10.04,150.059998,64.970001,58.310001,54.689999,90.260002
9/7/17,4638.0975,54.799999,100.400002,128.130005,139.110001,67.470001,37.18,246.869995,218.110001,129.279999,26.48,10.03,150.759995,65.089996,58.509998,55.099998,89.480003
9/8/17,4317.5375,54.970001,99.620003,127.970001,139.220001,67.220001,37.165001,246.580002,218.240005,129,25.76,9.73,149.559998,64.400002,58.029999,55.360001,89.169998
9/11/17,4188.845,55.220001,100.790001,126.190002,140.679993,67.849998,37.77,249.210007,220.759995,127.459999,26.16,9.82,151.800003,65.010002,58.849998,55.830002,89.639999
9/12/17,4148.2675,55.259998,101.199997,126.559998,141.539993,67.959999,38.009998,250.050003,221.419998,126.790001,26.639999,9.87,152.070007,65.410004,58.990002,54.900002,90.040001
9/13/17,3874.2588,55.150002,101.099998,125.610001,141.960007,67.980003,38,250.169998,221.759995,126.290001,27.08,10.07,151.789993,66.230003,58.91,54.630001,90.690002
9/14/17,3226.4125,55.16,100.82,126.160004,141.830002,67.760002,38.07,250.089996,222.320007,126.809998,27.280001,10.13,151.380005,66.550003,58.709999,55.09,90.199997
