,Date,Bitcoin,EWJ,N,B
131,11/3/17,7161.4513,59.189999,0.5654242423689713,0.32801136811782705
132,11/6/17,6958.2113,59.18,0.5646313000708885,0.31643630706185744
133,11/7/17,7129.59,59.650002,0.6019034738866322,0.32619678194963886
134,11/8/17,7444.36,60.02,0.6312451144913043,0.34412377451304943
135,11/9/17,7146.7813,59.52,0.5915940344791526,0.3271758724196816
136,11/10/17,6570.3125,59.080002,0.5567012426727782,0.29434443393876475
137,11/13/17,6517.6763,58.82,0.5360825224621388,0.29134666170517776
138,11/14/17,6598.7688,58.509997999999996,0.5114986942502844,0.29596509625881484
139,11/15/17,7279.0013,58.080002,0.47739908264847397,0.3347061547106691
140,11/16/17,7843.9375,58.98,0.5487708680660273,0.3668807808065532
141,11/17/17,7689.9088,58.689999,0.5257731623568196,0.3581084347778599
142,11/20/17,8238.2025,58.98,0.5487708680660273,0.3893352260300912
143,11/21/17,8095.5938,59.52,0.5915940344791526,0.3812132795155643
144,11/22/17,8230.6925,59.560001,0.594766200182284,0.3889075114634196
145,11/24/17,8201.4613,60.049999,0.6336240999898735,0.3872427165178417
146,11/27/17,9739.055,59.790001000000004,0.6130056969878748,0.4748127861732946
147,11/28/17,9908.2288,59.970001,0.6272800857922496,0.48444768611459754
148,11/29/17,9816.3475,59.849998,0.6177635886828527,0.4792148005733562
149,11/30/17,9916.5363,59.91,0.6225218768886309,0.4849208204371839
150,12/1/17,10859.5625,59.639998999999996,0.6011102143799087,0.5386286822871102
151,12/4/17,11616.855,59.009997999999996,0.551149774262436,0.5817585136427876
152,12/5/17,11696.0583,59.16,0.5630452568704021,0.5862693532084946
153,12/6/17,13708.9913,58.939999,0.5455987023628959,0.7009112661024924
154,12/7/17,16858.02,59.32,0.5757336024742914,0.8802568647518758
155,12/8/17,16057.145,59.599998,0.5979380486767765,0.8346448935690394
156,12/11/17,16699.6775,59.799999,0.6137985599837972,0.8712388362867367
157,12/12/17,17178.1025,59.91,0.6225218768886309,0.8984864183852521
158,12/13/17,16407.2025,60.150002,0.6415545538987839,0.8545816035454223
159,12/14/17,16531.0838,59.869999,0.6193497111854986,0.8616369745904573
160,12/15/17,17601.9438,59.900002,0.6217290138927076,0.922625312921473
161,12/18/17,18960.5225,60.619999,0.6788263312037275,1.0
162,12/19/17,17608.35,59.610001000000004,0.5987313081835,0.922990163128798
163,12/20/17,16454.7225,59.689999,0.6050753223811238,0.857287994518556
164,12/21/17,15561.05,59.73,0.6082474880842561,0.8063909577563978
165,12/22/17,13857.145,60.009997999999996,0.6304519342867412,0.7093490151832237
166,12/26/17,15745.2575,60.040001000000004,0.632831236993951,0.8168820670826502
167,12/27/17,15378.285,59.959998999999996,0.6264869055876856,0.7959820026594961
168,12/28/17,14428.76,59.82,0.615384682486444,0.7419040167848182
169,12/29/17,14427.87,59.93,0.6241079200891173,0.7418533289067439
170,1/2/18,14740.7563,60.290001000000004,0.6526567770000273,0.7596730397219201
171,1/3/18,15134.6513,61.119999,0.7184774112158792,0.7821064124568206
172,1/4/18,15155.2263,61.869999,0.777954031234108,0.7832782136830879
173,1/5/18,16937.1738,62.040001000000004,0.7914355570425604,0.884764885160319
174,1/8/18,14970.3575,62.400002,0.8199844139534695,0.7727494415548463
175,1/9/18,14439.4738,62.439999,0.8231562624479611,0.7425141963220226
176,1/10/18,14890.7225,62.84,0.8548772057598439,0.7682140155206397
177,1/11/18,13287.26,63.259997999999996,0.888183954365731,0.6768925417041779
178,1/12/18,13812.715,63.459998999999996,0.9040444656727518,0.70681860796655
179,1/16/18,11348.02,63.459998999999996,0.9040444656727518,0.566447642067401
180,1/17/18,11141.2488,63.970001,0.9444887258894674,0.5546714697360876
181,1/18/18,11250.6475,63.43,0.9016654801741826,0.5609020180137086
182,1/19/18,11514.925,63.830002,0.9333865027882249,0.5759533277864848
183,1/22/18,10772.15,64.099998,0.9547977687861469,0.5336503068464737
184,1/23/18,10839.8263,64.489998,0.9857256111956261,0.5375046529621111
185,1/24/18,11399.52,64.510002,0.9873119716047523,0.569380704675069
186,1/25/18,11137.2375,64.199997,0.9627279054864175,0.5544430154829199
187,1/26/18,11090.0638,64.66999799999999,1.0,0.5517563472200977
188,1/29/18,11158.3938,64.120003,0.9563842084974326,0.5556479232974171
189,1/30/18,10034.9975,63.299999,0.8913561200688633,0.49166750230474654
