,Date,Bitcoin,Stock,B,S
33,2017-04-18,1217.596,141.2,0.015625887243453408,0.05855018587360572
34,2017-04-19,1226.9389999999999,140.68,0.016144235067048603,0.04646840148698894
35,2017-04-20,1255.403,142.44,0.017723412253264313,0.08736059479553893
36,2017-04-21,1257.135,142.27,0.01781950327654023,0.08341078066914509
37,2017-04-24,1248.325,143.64,0.01733072618932268,0.11524163568773194
38,2017-04-25,1263.545,144.54,0.01817512883035006,0.13615241635687703
39,2017-04-26,1284.845,143.6508,0.019356848689343682,0.11549256505576233
40,2017-04-27,1329.19,143.79,0.021817100668079493,0.11872676579925656
41,2017-04-28,1320.0513,143.65,0.02131008736876564,0.11547397769516765
42,2017-05-01,1402.0838,146.6,0.025861234520544778,0.18401486988847582
43,2017-05-02,1443.6825,147.51,0.02816912230919822,0.20515799256505574
44,2017-05-03,1491.9988,147.06,0.030849701239859924,0.1947026022304832
45,2017-05-04,1515.6288,146.53,0.032160689045870224,0.18238847583643114
46,2017-05-05,1512.2088,148.96,0.03197094811076422,0.23884758364312297
47,2017-05-08,1639.3225,153.0,0.03902319147415197,0.33271375464684017
48,2017-05-09,1706.9313,153.96,0.042774114554092295,0.3550185873605951
49,2017-05-10,1756.8025,153.26,0.04554095903446053,0.3387546468401488
50,2017-05-11,1807.3725,153.95,0.048346572802972644,0.35478624535315983
51,2017-05-12,1676.9938,156.1,0.04111318787434478,0.40473977695167296
52,2017-05-15,1697.3788,155.7,0.04224414371122672,0.395446096654275
53,2017-05-16,1718.2013,155.47,0.043399371963052776,0.3901022304832713
54,2017-05-17,1802.1638,150.25,0.04805759513961396,0.26881970260223076
55,2017-05-18,1887.3263,152.54,0.052782394082879,0.3220260223048328
56,2017-05-19,1968.1025,152.96,0.057263841954899745,0.33178438661710086
57,2017-05-22,2139.0275,153.99,0.06674672772478177,0.35571561338290003
58,2017-05-23,2291.4775,153.8,0.07520462408645218,0.3513011152416361
59,2017-05-24,2476.2963,153.34,0.08545833517919271,0.3406133828996283
60,2017-05-25,2357.5038,153.87,0.0788677503740518,0.35292750929368033
61,2017-05-26,2247.4825,153.61,0.07276379003967168,0.34688661710037216
62,2017-05-30,2197.2338,153.67,0.06997600193269451,0.3482806691449811
63,2017-05-31,2330.2338,152.76,0.0773548160757064,0.3271375464684012
64,2017-06-01,2452.1813,153.18,0.08412043966747293,0.33689591078066927
65,2017-06-02,2517.4088,155.45,0.08773924868636998,0.3896375464684012
66,2017-06-05,2736.595,153.93,0.09989965644962587,0.3543215613382902
67,2017-06-06,2914.0825,154.45,0.1097466284436697,0.36640334572490696
68,2017-06-07,2694.2188,155.37,0.09754863311212889,0.38777881040892215
69,2017-06-08,2825.0313,154.99,0.1048060851804202,0.3789498141263943
70,2017-06-09,2826.7,148.98,0.10489866433200248,0.23931226765799218
71,2017-06-12,2682.595,145.32,0.09690374694795187,0.15427509293680286
72,2017-06-13,2738.9313,146.59,0.10002927391941777,0.183782527881041
73,2017-06-14,2494.485,145.16,0.0864674407190649,0.15055762081784385
74,2017-06-15,2456.9238,144.29,0.08438355264546715,0.13034386617100369
75,2017-06-16,2528.1025,142.27,0.08833253308337091,0.08341078066914509
76,2017-06-19,2641.665,146.34,0.09463295850529416,0.1779739776951672
77,2017-06-20,2778.8275,145.01,0.1022427073390601,0.14707249070631967
78,2017-06-21,2712.1575,145.87,0.09854386870060441,0.167053903345725
79,2017-06-22,2740.79,145.63,0.10013239423406148,0.16147769516728605
80,2017-06-23,2738.225,146.35,0.09999008853273197,0.17820631970260203
81,2017-06-26,2485.3588,145.82,0.08596112091732086,0.16589219330854998
82,2017-06-27,2593.17,143.74,0.09194246533337413,0.11756505576208198
83,2017-06-28,2584.5638,145.83,0.09146499503053512,0.16612453531598526
84,2017-06-29,2561.5613,143.68,0.09018882080253038,0.11617100371747213
85,2017-06-30,2499.9838,144.02,0.08677251307402425,0.12407063197026069
86,2017-07-03,2581.0663,143.5,0.09127095441049615,0.11198884758364303
87,2017-07-05,2629.2725,144.09,0.09394542501456277,0.12569702602230493
88,2017-07-06,2619.1125,142.73,0.09338175018980338,0.09409851301115202
89,2017-07-07,2521.2363,144.18,0.08795159764225252,0.1277881040892197
90,2017-07-10,2371.96,145.06,0.07966977753957216,0.1482342007434947
91,2017-07-11,2332.1875,145.53,0.07746320697188086,0.1591542750929369
92,2017-07-12,2423.16,145.74,0.0825103435856038,0.16403345724907092
93,2017-07-13,2364.5163,147.77,0.0792568025107275,0.2111988847583648
94,2017-07-14,2232.655,149.04,0.07194116322233701,0.24070631970260203
95,2017-07-17,2244.265,149.56,0.0725852837651969,0.25278810408921926
96,2017-07-18,2327.8975,150.08,0.07722519860591456,0.2648698884758369
97,2017-07-19,2294.405,151.02,0.07536704121730683,0.2867100371747213
98,2017-07-20,2877.3863,150.34,0.10771073040190432,0.2709107806691451
99,2017-07-21,2694.2913,150.27,0.0975526553980339,0.26928438661710086
100,2017-07-24,2779.0438,152.09,0.10225470762100847,0.31157063197026025
101,2017-07-25,2591.2163,152.74,0.09183407443719968,0.326672862453532
102,2017-07-26,2550.18,153.46,0.08955738849120809,0.343401486988848
103,2017-07-27,2697.4725,150.56,0.09772914775556585,0.27602230483271395
104,2017-07-28,2805.1788,149.5,0.1037046723400131,0.25139405204460985
105,2017-07-31,2873.8325,148.85,0.10751356626881081,0.2362918215613381
106,2017-08-01,2735.5875,150.05,0.09984376054549743,0.264172862453532
107,2017-08-02,2723.58,157.14,0.09917758677991687,0.42890334572490696
108,2017-08-03,2814.3613,155.57,0.10421411565481165,0.3924256505576209
109,2017-08-04,2883.6813,156.39,0.10805997577807169,0.41147769516728605
110,2017-08-08,3453.1625,160.08,0.13965468203927012,0.4972118959107812
111,2017-08-09,3377.5438,161.06,0.13545937126456203,0.5199814126394053
112,2017-08-10,3445.28,155.27,0.1392173624717341,0.385455390334573
113,2017-08-11,3679.6075,157.48,0.15221780661531772,0.4368029739776951
114,2017-08-14,4382.7413,159.85,0.1912275331406538,0.49186802973977706
115,2017-08-15,4204.43,161.6,0.18133485688276785,0.5325278810408922
116,2017-08-16,4425.2963,160.95,0.1935884762673897,0.5174256505576205
117,2017-08-17,4316.34,157.87,0.18754360192595929,0.4458643122676582
118,2017-08-18,4159.4575,157.5,0.17883979132602648,0.4372676579925652
119,2017-08-21,4054.9425,157.21,0.17304131944514758,0.4305297397769521
120,2017-08-22,4137.6725,159.78,0.17763116376132332,0.4902416356877324
121,2017-08-23,4191.2175,159.98,0.18060182995145543,0.49488847583643114
122,2017-08-24,4362.475,159.27,0.19010316275669503,0.47839219330855043
123,2017-08-25,4408.3238,159.86,0.1926468452670719,0.49210037174721233
124,2017-08-28,4439.6588,161.47,0.19438530497512663,0.5295074349442381
125,2017-08-29,4648.1338,162.91,0.20595145744478377,0.5629646840148701
126,2017-08-30,4630.7275,163.35,0.20498575930480256,0.5731877323420074
127,2017-08-31,4764.8675,164.0,0.21242782042618313,0.5882899628252791
128,2017-09-01,4950.7238,164.05,0.22273909181721968,0.5894516728624541
129,2017-09-05,4422.1213,162.08,0.19341232788465237,0.5436802973977701
130,2017-09-06,4626.72,161.91,0.20476342398391445,0.5397304832713754
131,2017-09-07,4638.0975,161.26,0.20539464547197545,0.5246282527881041
132,2017-09-08,4317.5375,158.63,0.18761003899314918,0.46352230483271395
133,2017-09-11,4188.845,161.5,0.18047020411270137,0.5302044609665431
134,2017-09-12,4148.2675,160.82,0.1782189723015129,0.5144052044609664
135,2017-09-13,3874.2588,159.65,0.16301702289648803,0.4872211895910783
136,2017-09-14,3226.4125,158.28,0.12707463612251862,0.455390334572491
137,2017-09-15,3686.9,159.88,0.15262239309755768,0.492565055762082
138,2017-09-18,4067.0775,158.67,0.17371456688594042,0.46445167286245326
139,2017-09-19,3896.9988,158.73,0.1642786336755263,0.4658457249070631
140,2017-09-20,3858.0888,156.07,0.16211991444015345,0.40404275092936803
141,2017-09-21,3612.6813,153.39,0.1485047540506708,0.34177509293680286
142,2017-09-22,3603.3088,151.89,0.14798476957281076,0.30692379182156104
143,2017-09-25,3927.4988,150.55,0.16597076774591626,0.2757899628252791
144,2017-09-26,3895.5125,153.14,0.164196174040483,0.3359665427509291
145,2017-09-27,4208.5613,154.23,0.18156406060358757,0.3612918215613381
146,2017-09-28,4185.2925,153.28,0.1802731121033551,0.3392193308550189
147,2017-09-29,4164.1038,154.12,0.17909756714672326,0.3587360594795541
148,2017-10-02,4404.0975,153.81,0.1924123709647214,0.3515334572490709
149,2017-10-03,4320.09,154.48,0.18775165119690887,0.3671003717472119
150,2017-10-04,4225.9238,153.4508,0.1825273287280841,0.3431877323420074
151,2017-10-05,4322.755,155.39,0.18789950487879703,0.3882434944237918
152,2017-10-06,4370.245,155.3,0.19053424084610254,0.38615241635687747
153,2017-10-09,4772.975,155.84,0.21287762294997614,0.39869888475836435
154,2017-10-10,4754.6988,155.9,0.21186366292711512,0.4000929368029742
155,2017-10-11,4830.7663,156.55,0.21608387303857046,0.4151951672862455
156,2017-10-12,5439.1338,156.0,0.24983598366374932,0.40241635687732336
157,2017-10-13,5640.1275,156.99,0.2609870750638718,0.4254182156133832
158,2017-10-16,5754.2213,159.88,0.2673169769065032,0.492565055762082
159,2017-10-17,5595.235,160.47,0.2584964478915774,0.5062732342007434
160,2017-10-18,5572.1988,159.76,0.2572184039941244,0.4897769516728623
161,2017-10-19,5699.5838,155.98,0.2642856990287678,0.40195167286245326
162,2017-10-20,5984.0863,156.16,0.2800698424176568,0.40613382899628236
163,2017-10-23,5895.2988,156.17,0.2751439291791405,0.4063661710037172
164,2017-10-24,5518.85,157.1,0.25425862294184837,0.4279739776951672
165,2017-10-25,5733.9038,156.405,0.26618976595649835,0.41182620817843896
166,2017-10-26,5888.145,157.41,0.27474703774593545,0.4351765799256504
167,2017-10-27,5767.68,163.05,0.26806366296595097,0.5662174721189595
168,2017-10-30,6121.8,166.72,0.2877101717202621,0.6514869888475836
169,2017-10-31,6447.6675,169.04,0.305789237267239,0.7053903345724906
170,2017-11-01,6750.1725,166.89,0.3225721558562,0.6554368029739774
171,2017-11-02,7030.0025,168.11,0.33809706985348587,0.6837825278810414
172,2017-11-03,7161.4513,172.5,0.34538982372207194,0.785780669144982
173,2017-11-06,6958.2113,174.25,0.33411410803466035,0.8264405204460967
174,2017-11-07,7118.8013,174.81,0.3430236100138053,0.8394516728624541
175,2017-11-09,7146.7813,175.88,0.34457593497411715,0.8643122676579926
176,2017-11-10,6570.3125,174.67,0.3125935580234021,0.8361988847583639
177,2017-11-13,6517.6763,173.97,0.30967331188058705,0.819934944237918
178,2017-11-14,6598.7688,171.34,0.3141723080151148,0.7588289962825283
179,2017-11-15,7279.0013,169.08,0.35191147486877156,0.7063197026022308
180,2017-11-16,7843.9375,171.1,0.3832540254135791,0.7532527881040894
181,2017-11-17,7689.9088,170.15,0.3747085430828292,0.7311802973977697
182,2017-11-20,8238.2025,169.98,0.40512777096316244,0.7272304832713754
183,2017-11-21,8095.5938,173.14,0.397215868012211,0.800650557620818
184,2017-11-22,8230.6925,174.96,0.4047111176232074,0.8429368029739779
185,2017-11-24,8201.4613,174.97,0.40308937633014574,0.8431691449814132
186,2017-11-27,9739.055,174.09,0.48839477587725855,0.8227230483271377
187,2017-11-28,9908.2288,173.07,0.49778050541159735,0.7990241635687729
188,2017-11-29,9816.3475,169.48,0.4926829487505573,0.7156133828996283
189,2017-11-30,9916.5363,171.85,0.4982414038965076,0.7706784386617103
190,2017-12-01,10859.5625,171.05,0.5505603141355361,0.7520910780669148
